"Nom de l'Article / Vulnérabilité","Catégorie Principale","Statut de Rédaction","Priorité","Impact Potentiel"
"SQL Injection (Classic, Blind, Time-based, Out-of-band)","1. Injection Flaws","À Faire","Haute","RCE, Exfiltration de Données"
"NoSQL Injection (MongoDB, Redis, etc.)","1. Injection Flaws","À Faire","Moyenne","Exfiltration, Contournement d'Auth"
"LDAP Injection","1. Injection Flaws","À Faire","Faible","Contournement d'Auth"
"Command Injection (OS Command, Blind, RCE)","1. Injection Flaws","À Faire","Critique","RCE"
"Server-Side Template Injection (SSTI)","1. Injection Flaws","À Faire","Haute","RCE, Lecture de Fichiers"
"Server-Side Includes (SSI) Injection","1. Injection Flaws","À Faire","Faible","Lecture de Fichiers, XSS"
"XML External Entity (XXE)","1. Injection Flaws","À Faire","Moyenne","SSRF, Lecture de Fichiers"
"XPath Injection","1. Injection Flaws","À Faire","Faible","Exfiltration de Données"
"Expression Language Injection (SpEL, OGNL, MVEL, etc.)","1. Injection Flaws","À Faire","Moyenne","RCE"
"Log Injection / Log Forging","1. Injection Flaws","À Faire","Faible","Contrefaçon, Cache Poisoning"
"Email Header Injection (SMTP/IMAP)","1. Injection Flaws","À Faire","Faible","Spam, Phishing"
"Local File Inclusion (LFI)","2. Path & File Handling","À Faire","Haute","RCE via Log Poisoning"
"Remote File Inclusion (RFI)","2. Path & File Handling","À Faire","Faible","RCE (si non patché)"
"Path Traversal / Directory Traversal (../..)","2. Path & File Handling","À Faire","Moyenne","Lecture de Fichiers Sensibles"
"File Upload Vulnerabilities","2. Path & File Handling","À Faire","Haute","RCE, Denial of Service"
"Broken Authentication (logic bypass, weak recovery, etc.)","3. Authentication & Session Management","À Faire","Haute","Compte Takeover"
"Brute Force / Credential Stuffing / Password Spraying","3. Authentication & Session Management","À Faire","Moyenne","Compte Takeover"
"Default / Weak / Hardcoded Credentials","3. Authentication & Session Management","À Faire","Critique","Accès Non Autorisé"
"Session Fixation","3. Authentication & Session Management","À Faire","Faible","Usurpation de Session"
